flasher_cmds,pos_cmd_0s,pos_cmd_1s
7,0.17500570000000001,0.17500570000000001
7,0.2250057,0.17500570000000001
7,0.2750057,0.17500570000000001
7,0.3250057,0.17500570000000001
7,0.3750057,0.17500570000000001
7,0.4250057,0.17500570000000001
7,0.4750057,0.17500570000000001
7,0.17500570000000001,0.2250057
7,0.2250057,0.2250057
7,0.2750057,0.2250057
7,0.3250057,0.2250057
7,0.3750057,0.2250057
7,0.4250057,0.2250057
7,0.4750057,0.2250057
7,0.17500570000000001,0.2750057
7,0.2250057,0.2750057
7,0.2750057,0.2750057
7,0.3250057,0.2750057
7,0.3750057,0.2750057
7,0.4250057,0.2750057
7,0.4750057,0.2750057
7,0.17500570000000001,0.3250057
7,0.2250057,0.3250057
7,0.2750057,0.3250057
7,0.3250057,0.3250057
7,0.3750057,0.3250057
7,0.4250057,0.3250057
7,0.4750057,0.3250057
7,0.17500570000000001,0.3750057
7,0.2250057,0.3750057
7,0.2750057,0.3750057
7,0.3250057,0.3750057
7,0.3750057,0.3750057
7,0.4250057,0.3750057
7,0.4750057,0.3750057
7,0.17500570000000001,0.4250057
7,0.2250057,0.4250057
7,0.2750057,0.4250057
7,0.3250057,0.4250057
7,0.3750057,0.4250057
7,0.4250057,0.4250057
7,0.4750057,0.4250057
7,0.17500570000000001,0.4750057
7,0.2250057,0.4750057
7,0.2750057,0.4750057
7,0.3250057,0.4750057
7,0.3750057,0.4750057
7,0.4250057,0.4750057
7,0.4750057,0.4750057
